,household_size,empl_agriculture,empl_professional,empl_social,empl_services,empl_manufacturing,empl_retail,empl_transp_utilities,prc_fam_poverty,avg_income,prc_public_transp,population,pop_65_plus,aa_and_mixed,aa,latino,immigrant,county,state,FIPS,area,prc_obese,nh_weighted_health_score,nh_num_beds,nh_prc_occupied,nh_nurse_hours,nh_total_fines,nh_overall_rating,incarcerated,domestic_passengers,intl_passengers,deaths_march24,deaths_april1,deaths_april11,deaths_april23,deaths_april25,deaths,cases_march24,cases_april1,cases_april11,cases_april23,cases_april25,cases_may11,ten_plus,order,density,death_prc,cases_prc,prc_incarcerated,uninsured
10,2.6,1.7606162156754863,10.781273445705995,16.530785775021258,15.047766718351426,6.519781923673286,8.195368378932628,7.037463112089232,9.4,36507,0.6,85832,21.888106999720375,6.949622518408053,5.8381489421194885,4.4796812377668,4.565896169260881,Nassau County,FL,12089.0,648.64,28.0,18.667,240.0,91.66666666666666,3.52809,811.5,4.0,260.0,3113000,0,0,0,0,0,0,1,1,11,33,48,50,61,41,38,132.32609768130243,1.1650666418119116e-05,0.00038447199179793084,0.00302917326871097,1.37943890390531
11,2.68,0.697895189640595,9.675601109512435,22.66490647759467,10.485485856683034,5.243484581040391,14.557159173502233,5.413323049082576,7.4,27000,0.4,321128,24.04274930868688,21.929884656585536,20.2019132557734,19.548591215963725,16.376335915896465,St. Lucie County,FL,12111.0,571.93,29.9,68.97730571428572,1050.0,85.49523809523808,4.203843971428571,15606.251428571428,2.795238095238094,1272.0,0,0,0,2,6,17,19,25,5,40,148,220,225,284,46,38,561.4813001591104,7.785057671707231e-05,0.00046087541416506815,0.003961037343364639,0.62623003911213
12,2.72,1.98405646246414,10.193201147528498,24.292315113356523,11.038614841707076,3.5644469268069767,10.610830434892991,5.465993043743175,5.9,33684,0.0,179349,15.843969021293681,7.653792326692648,6.042408934535461,5.701174804431582,4.757205225565796,Santa Rosa County,FL,12113.0,1011.61,29.9,29.772219512195118,410.0,88.82926829268291,4.619283414634147,31010.80487804878,3.707317073170731,660.0,972000,0,1,2,3,6,6,9,4,44,105,141,147,176,45,38,177.29065548976385,5.018148972115819e-05,0.0005854507134135122,0.0036799759128849337,4.363559317308713
13,2.93,1.6922802456864692,9.485944389224457,16.168412467823735,6.572877641002116,11.919871549812678,15.393633560160053,5.448938501924204,6.9,25470,0.0,80809,12.675568315410409,13.708869061614426,12.296897622789539,11.529656350159016,8.808424804167851,Barrow County,GA,13013.0,160.31,38.3,22.0,163.0,78.40490797546013,3.1139900000000003,0.0,4.0,323.0,0,0,0,2,3,3,3,6,1,20,51,106,111,195,41,38,504.0795957831701,7.424915541585715e-05,0.0006311178210347858,0.00399707953322031,0.15344825452609712
14,2.94,1.1239772373375612,12.369411964553663,17.258854505818068,4.283570680331814,14.521106423940433,15.336485376971204,5.0734690410803776,2.1,28965,0.0,70422,14.546590554088215,8.424924029422622,6.948112805657322,8.138081849422056,5.006958052881202,Jackson County,GA,13157.0,339.66,29.0,118.5042194092827,237.0,87.17299578059072,3.80409805907173,77638.79324894515,2.590717299578059,264.0,0,0,0,0,1,1,1,3,0,9,26,69,75,124,39,38,207.33086027203672,4.260032376246059e-05,0.00036920280594132513,0.0037488284910965324,0.8903467666354317
15,2.68,1.2890325874244877,8.629711563005191,25.699821322215605,8.263847528290649,13.192376414532454,15.349272526163533,3.0332681017612524,24.0,21313,0.0,116321,12.491295638792653,38.07824898341658,36.431082951487696,5.940457870891756,3.1662382544854326,Lowndes County,GA,13185.0,496.07,38.5,22.44149046321526,367.0,85.94005449591282,3.4467757765667577,2725.040871934605,2.5177111716621248,630.0,0,0,0,1,2,4,4,4,8,24,59,125,131,185,48,38,234.48505251275023,3.438759983150076e-05,0.0005072170975146363,0.0054160469734613696,4.240850749219831
16,2.71,0.27238207356624305,8.634280899784171,27.29591542305784,9.728425839363826,11.637408676984869,11.916715718523136,6.238241981464169,15.2,22087,1.5,201554,13.965488157019957,58.66666005140061,56.44789981841095,5.018506206773371,3.359397481568215,Richmond County,GA,13245.0,324.33,35.4,15.682538391224856,1094.0,74.0493601462523,4.016972120658136,8884.060329067643,3.3592321755027426,1159.0,298000,0,0,0,3,14,14,16,11,41,138,335,355,449,51,38,621.4472913390682,7.938319259354813e-05,0.0006846800361193526,0.005750320013495143,4.9708762912172375
17,2.7,0.19003931847968544,8.72870249017038,16.65792922673657,8.597640891218871,26.69724770642202,12.198558322411532,9.40694626474443,21.8,24448,0.0,70034,14.371590941542678,37.74595196618785,37.438958220293,3.741040066253534,3.435474198246567,Troup County,GA,13285.0,413.99,40.3,48.00471287128713,404.0,78.93564356435644,4.134067524752475,107518.05445544554,2.9752475247524752,807.0,0,0,0,1,3,4,4,5,4,19,55,118,122,190,46,38,169.1683373994541,7.139389439415142e-05,0.0007853328383356656,0.011522974555216038,1.8448182311448704
18,2.52,0.5414382992858329,6.351104467696396,20.817140009965122,10.486630127885734,15.243315063942866,10.519847201461552,7.158279355588772,8.9,22794,0.0,69410,18.863276184987754,6.611439273879845,0.0,2.3152283532632185,0.6036594150698746,Walker County,GA,13295.0,446.38,37.1,11.555555555555555,324.0,87.99382716049381,3.289773456790124,4385.975308641975,3.4197530864197527,201.0,503000,0,0,0,0,0,0,0,0,2,6,59,59,65,27,38,155.4953178905865,0.0,8.64428756663305e-05,0.0028958363348220717,2.1956490419247956
19,2.43,2.274470470234232,3.9087851790666117,25.24042716384448,9.496135465219188,14.118827069443624,13.546521918697266,6.820461384152456,6.6,31239,0.8,65691,20.241737833188715,5.1376900945334985,4.649038681097868,1.660805894262532,1.0884291607678374,Adams County,IL,17001.0,855.2,37.0,82.00360138888887,720.0,67.7361111111111,4.021080066263897,124393.56805555554,3.0986111111111105,76.0,0,0,0,0,0,0,0,1,1,2,25,29,32,41,32,51,76.81361085126287,1.5222785465284437e-05,0.00038056963663211094,0.0011569316953616172,1.8343456485667673
20,2.56,1.8388511415181343,9.171670023150329,31.10425175509589,8.343528260337656,11.620334644557786,11.193088780561254,6.007792061131918,7.4,30486,1.8,104143,12.775702639639725,9.70300452262754,7.800812344564685,11.446760704031956,6.357604447730527,DeKalb County,IL,17037.0,631.31,31.7,69.81152706082122,1525.3723536737234,81.09863013141917,3.810527943653544,21942.471284545958,2.9955962272388272,134.0,0,0,0,0,1,1,1,2,1,14,33,56,71,183,40,51,164.9633302181179,1.920436323132616e-05,0.0003168719933168816,0.0012866923364988525,0.6587096588344821
21,2.46,0.5826865867350702,12.454413584546922,23.76066414797453,9.697511084157645,8.138762999811508,12.463428426254492,7.010268724235992,9.9,30824,2.0,261059,15.687258435832513,31.85601722216051,30.254463550385164,4.1749183134846914,3.4241301774694617,St. Clair County,IL,17163.0,657.76,36.8,119.44289911851126,2042.0,72.85014691478942,3.226730673002763,17687.557296767878,1.8971596474045047,468.0,7603000,136100,0,2,7,19,24,52,4,53,173,330,363,719,45,51,396.89096326927756,0.00019918868914689782,0.0006626854465848716,0.0017926982023220804,2.1619633875867237
22,2.34,1.6156686890002638,5.513057240833554,28.603930361382226,11.207465048799786,8.480611975731996,12.968214191506199,3.1159324716433656,9.2,25624,0.9,67056,18.733595800524935,4.936172751133381,3.960868527797662,2.755905511811024,2.3085182534001434,Williamson County,IL,17199.0,420.15,26.3,52.13466306306306,555.0,70.37837837837839,3.0998244324324324,11971.171171171172,3.2,118.0,0,0,0,0,0,0,0,1,1,1,10,19,22,44,32,51,159.60014280614067,1.4912908613696015e-05,0.00014912908613696016,0.0017597232164161297,2.9288952517299265
23,2.37,1.4456942651668818,6.647612022865572,29.273464871842155,11.842153789415452,13.828139406232712,12.684860778167069,3.665867600958879,14.3,23387,1.9,114772,17.365733802669638,8.435855435123548,6.960756979054126,2.5633429756386565,1.5648415989962707,Delaware County,IN,18035.0,392.12,34.1,34.482253186066266,1177.0,75.16567544604928,3.32083959316206,16625.42310960068,3.3211554800339846,300.0,0,0,1,1,2,10,11,19,2,22,63,126,144,229,43,48,292.69611343466283,0.00016554560345728923,0.0005489143693583801,0.0026138779493256195,1.2929982922664465
24,2.73,0.4588696138780078,9.008393956351426,23.719082260772254,6.782316731952993,13.473978735310578,11.898153329602685,7.396754336877447,4.7,36003,0.0,167009,13.722014981228554,8.503134561610452,6.869689657443612,4.0267290984318205,5.332047973462508,Hendricks County,IN,18063.0,406.91,31.2,53.07227824750193,1301.0,72.92083013066872,3.2787444119907767,1782.0,2.937740199846272,217.0,4567000,0,0,1,9,25,26,54,8,91,301,565,611,973,48,48,410.43228232287237,0.00032333586812686744,0.0018022980797442053,0.0012993311737690783,1.2496332532977164
25,2.37,1.7481929736090098,8.091696083375357,19.54320053790553,13.130358043368636,20.486636409480585,10.846360732896283,6.891914607497059,12.2,26844,1.6,110007,17.886134518712446,14.250002272582655,11.48563273246248,6.839564754970138,3.727035552283037,LaPorte County,IN,18091.0,598.3,37.1,69.81152706082122,1525.3723536737234,81.09863013141917,3.810527943653544,21942.471284545958,2.9955962272388272,389.0,360000,0,0,0,3,5,5,12,2,11,31,148,156,329,40,48,183.8659535350159,0.00010908396738389375,0.0002818002490750589,0.0035361386093612224,6.871380912123755
26,2.45,1.0920138888888888,9.190972222222225,24.98611111111111,6.2204861111111125,15.050347222222221,11.536458333333336,5.2274305555555545,14.0,24585,0.4,129641,18.233429239206732,10.257557408535881,8.653126711457022,4.118295909473083,1.7695019322590846,Madison County,IN,18095.0,451.92,39.0,60.69581201550388,1032.0,68.39147286821706,3.401327490310078,18546.16569767442,2.331395348837209,255.0,0,0,0,2,13,38,43,57,2,46,235,359,395,509,44,48,286.8671446273677,0.00043967571987257116,0.0018126981433342847,0.001966970325745713,3.649308474942316
27,2.41,1.579245359323816,6.211833218748738,24.62490395114652,8.43410037610709,16.049257896226795,13.928094795163181,4.519351316374813,6.7,30732,0.5,96854,18.007516468085985,4.415925000516241,2.6307638300947818,2.5171908233010507,2.9167613108389947,Dubuque County,IA,19061.0,608.31,33.3,16.505002028397566,986.0,81.06490872210955,3.956959446186288,3146.1713995943205,3.6541582150101424,122.0,0,0,0,1,1,1,1,7,6,22,32,52,70,197,44,0,159.21816179250712,7.227373159601049e-05,0.00033039420158176226,0.0012596278935304685,1.2554979660107222
28,2.49,2.385101285123066,5.859289915051187,24.826835112176,9.18971901546504,10.917011544325852,13.164887824003484,9.553474188629927,9.5,28623,0.3,93533,17.580960730437383,2.4440571776806053,1.9436990153207958,7.846428533244951,4.42838356515882,Pottawattamie County,IA,19155.0,950.28,41.2,44.868426829268294,492.0,79.04471544715446,3.5199925646522767,12457.890243902439,2.217479674796748,212.0,2441000,0,0,0,0,1,1,2,2,5,12,18,20,86,33,0,98.426779475523,2.138282745127388e-05,0.0001282969647076433,0.0022665797098350314,1.011407738445257
29,2.56,0.5141993661980448,16.773727807754902,22.42533250131532,7.318699604791446,7.1064126564622105,10.403895801979713,5.361316056724051,3.7,46475,0.4,597555,14.479671327325521,6.0024600246002455,4.567445674456746,7.770498113144398,8.673009179071382,Johnson County,KS,20091.0,473.38,26.9,94.58504034157828,3396.0,81.7667844522968,4.131902967764956,24874.23380447585,3.3950978679998,743.0,5738000,0,1,3,12,36,38,52,32,143,283,403,424,604,55,42,1262.3156871857705,8.702127837604907e-05,0.0004735965727004209,0.001243400189103932,0.6816108977416491
30,2.53,0.9328226697055853,11.438238680420122,22.08581028689584,8.517587349326817,10.675767757701074,12.392208463544724,5.968185342700722,6.1,33443,2.5,166051,14.470253115006836,6.176415679520148,4.261341395113549,3.386911250158084,3.1153079475582803,Kenton County,KY,21117.0,160.25,33.1,47.674443089430895,738.0,89.78319783197833,3.8390357141682983,4132.574525745257,3.2064510937453377,665.0,4102999,136900,0,1,8,16,16,26,5,20,54,214,226,401,44,46,1036.1996879875196,0.00015657840061186022,0.0003252012935784789,0.004004793707957194,0.822638827830005
31,2.54,1.2627860769740231,7.6238133784678785,24.534550003679445,10.016925454411655,14.215909927146955,14.575023916402971,7.282360732945764,13.6,27392,0.0,131264,13.226779619697707,10.501736957581668,7.328742077035593,5.5841662603607976,9.582215992198927,Warren County,KY,21227.0,541.6,29.5,31.840017636684298,567.0,88.11287477954143,3.5759197001763674,701.9047619047618,3.074074074074073,650.0,0,0,0,0,0,0,0,2,4,13,24,130,184,573,42,46,242.36336779911372,1.523647001462701e-05,0.00018283764017552415,0.004951852754753778,1.0246526084836631
32,2.53,6.901028408512372,10.708346061161457,24.31269728133591,14.300987679462375,5.3643552930794565,11.463530529817062,4.277398771340326,10.7,29811,0.4,242782,13.124531472679193,27.56258701221672,26.353683551498875,4.64490777734758,4.608661268133552,Lafayette Parish,LA,22055.0,268.72,31.0,30.19290741998126,1333.0,77.59189797449363,4.013583394293685,2774.471117779445,2.3090979220945766,794.0,222000,0,0,2,12,17,17,22,9,159,337,439,442,508,48,49,903.4757368264363,9.06162730350685e-05,0.0013880765460371855,0.003270423672265654,0.831198359021684
33,2.8,0.17047646304891556,15.382700994238643,20.258078966688647,6.097333349924718,2.4725308910817168,10.076776626059255,4.854223958787004,5.3,38848,5.1,161503,12.332278657362401,51.22629301003696,47.92109124907896,6.039516293814976,5.814752667133117,Charles County,MD,24017.0,457.75,35.8,36.16301212121211,495.0,95.15151515151516,3.50753096969697,2471.0,4.62020202020202,374.0,11164000,182400,0,1,5,32,35,54,5,56,235,442,483,756,46,42,352.8192244675041,0.0003343591140721844,0.0014550813297585802,0.002315746456722166,2.4377256150040836
34,2.62,0.6851612999425926,18.559744723363327,21.1870661825556,8.133960590178111,5.735523264916612,10.159622453011655,3.45190078208292,4.4,43762,1.7,255648,14.402616097133558,11.48610589560646,10.248466641632245,10.165540117661784,11.284265865565152,Frederick County,MD,24021.0,660.22,28.7,129.74035780669146,1076.0,84.32156133828997,3.826049907063197,4715.1273234200735,2.654275092936804,354.0,0,0,0,1,11,36,45,74,4,35,341,690,814,1267,46,42,387.2163824179819,0.00028946050819877333,0.0013338653148078608,0.0013847164851671049,0.9638252597321326
35,2.82,0.14132027016138196,15.292134204670589,23.028179344513607,9.341393822816613,1.635513535961257,8.413927897737016,6.039168854995898,5.5,37093,14.6,909308,13.265582178975661,64.52280195489317,62.332015114790586,19.057898973725074,23.636985487865505,Prince George's County,MD,24033.0,482.69,36.9,69.81152706082122,1525.3723536737234,81.09863013141917,3.810527943653544,21942.471284545958,2.9955962272388272,913.0,23859000,786700,2,7,50,150,173,359,47,403,1923,4141,4795,9687,56,42,1883.834345024757,0.0003948057203939699,0.0021147949869571147,0.0010040602304169765,0.7163689310992396
36,2.54,0.27527208165696104,19.075269394983533,28.57109273725005,7.620973068337777,9.646948722598733,8.345927115027683,2.7852967318856643,4.4,52157,12.5,1614714,15.23861191517507,6.823003949925496,5.442140218020032,8.259728967482786,21.76781770641736,Middlesex County,MA,25017.0,817.82,21.6,55.40838485523385,8980.0,83.62360801781736,3.7753350805810513,20412.007349665924,3.1,1128.0,17316000,3572800,1,20,137,428,629,1235,232,1582,4872,10724,12253,17774,62,48,1974.412462400039,0.0007648413279379506,0.003017252590861292,0.0006985757230072942,0.8943998751481672
37,2.41,0.08098097511019277,16.764415290290856,30.561633514845013,10.279395642817505,4.869686046459169,8.714364987345313,3.974609419057373,11.8,41657,31.4,807252,12.010128187975994,27.099839950845585,21.772754976141282,23.3810507747271,29.665209872505738,Suffolk County,MA,25025.0,58.15,21.7,62.14838518064912,3266.0,83.93141457440294,3.9063830175801115,12279.770973668095,3.2002449479485615,1664.0,16407000,3572800,1,13,79,285,391,731,154,1624,4926,9739,11218,15356,62,48,13882.235597592433,0.0009055412684019365,0.006102183704716743,0.0020613141868957895,0.731246252719103
38,2.41,0.8341039044366024,7.859825253344908,24.43245079353097,7.8786963824045575,17.180275895906853,8.961899190428563,4.9442358136287305,6.5,34545,0.2,109826,18.465572815180376,8.127401526050297,6.42288711234134,5.480487316300329,3.9271210824394953,Eaton County,MI,26045.0,575.18,36.9,77.54304930966471,507.0,85.66074950690336,5.01555765285996,19515.976331360947,4.236686390532545,240.0,166000,0,0,0,4,5,5,6,2,27,71,111,114,151,42,48,190.9419659932543,5.463187223426147e-05,0.000646477154772094,0.002185274889370459,0.8313149891646958
39,2.47,1.4353352670192798,8.701586759938577,21.039498379116193,12.052124210885514,13.609025763521586,13.38082238525849,3.2545640675652616,7.3,34465,1.0,92573,19.8524407764683,1.256305834314541,0.7993691465114018,2.9414624134466854,2.5817462975165544,Grand Traverse County,MI,26055.0,464.33,30.7,149.63929541284404,545.0,78.0183486238532,4.457232587155964,12873.100917431191,2.889908256880734,157.0,246000,0,0,0,3,5,5,5,1,8,17,19,19,20,38,48,199.36898326621153,5.401142881833796e-05,0.00018363885798234906,0.0016959588648958119,1.1774491482397593
40,2.39,0.7216678545972915,7.766096459966739,25.3875623663578,8.245723449750535,19.354359705393204,10.761166547873604,4.471073889284867,9.6,26940,0.2,158823,17.97409695069354,9.780699268997562,7.847729862803246,3.6052712768301816,2.1898591513823567,Jackson County,MI,26075.0,701.67,36.0,119.3905121602289,699.0,79.27038626609442,4.464618583690987,34767.34763948498,3.1516452074391985,376.0,0,0,0,2,4,14,16,26,1,56,152,298,323,400,47,48,226.34999358672883,0.000163704249384535,0.0009570402271711277,0.002367415298791737,4.841867991411817
41,2.46,0.6652000838047349,8.260752446798957,26.715752297147645,11.745383257011163,16.728023704767892,10.515997725300052,3.4449732124150727,7.5,30504,2.0,264870,15.036810510816627,14.244346283082269,10.440971042398155,5.033412617510477,5.623135877977876,Kalamazoo County,MI,26077.0,561.66,31.4,114.86852127659576,846.0,80.44917257683215,4.253778628841608,33247.434988179666,3.5661938534278965,434.0,151000,0,0,1,7,11,11,32,3,30,79,229,280,622,46,48,471.5842324537977,0.00012081398421867331,0.00029825952353984976,0.0016385396609657568,0.8260656170951819
42,2.48,0.9494422027059102,7.131365878102171,23.592320067515892,8.5106944114777,23.463090434369807,10.490017670174328,5.66236780335997,10.6,25432,0.4,173588,16.960273751641818,15.830011291103073,13.45139064912321,5.807429084959789,1.8503583196995184,Muskegon County,MI,26121.0,499.25,35.6,122.69128846153843,624.0,78.14102564102564,3.955680480769231,88889.78525641025,3.2067307692307687,510.0,0,0,0,2,4,12,13,20,1,18,57,191,213,384,43,48,347.6975463194792,0.00011521533746572344,0.0003283637117773118,0.0029379911053759476,2.98234901030024
43,2.72,1.5590894917368257,8.463533891951784,21.92411546550432,8.605510552050369,23.68621831233539,9.964240458040589,3.580598292299425,3.0,31407,1.1,290494,14.945575467995898,2.8661521408359563,1.8795568927413304,9.982994485256151,4.900273327504181,Ottawa County,MI,26139.0,563.47,27.0,115.67816666666666,834.0,82.90167865707433,3.827288633093525,13357.183453237407,3.2422062350119902,257.0,1629000,0,0,0,2,7,8,19,11,31,64,161,173,420,49,48,515.5447494986423,6.540582593788512e-05,0.00022031436105392883,0.0008846998561071829,0.44028448091870587
44,2.74,0.6696555246580784,9.443793820389928,22.35813672735528,7.620040138058412,16.544825131170967,11.843306798190177,5.515629594853249,3.6,36536,2.6,353813,14.082580346115039,8.10484634538584,6.549787599664231,4.739791923982443,8.982428571024807,Anoka County,MN,27003.0,423.01,29.7,70.2014055944056,715.0,88.71328671328672,4.2617782547330565,10088.836363636363,3.131468531468532,370.0,16845000,1477300,0,0,0,2,3,29,7,26,58,131,150,571,45,45,836.4175787806435,8.196420142843818e-05,0.00016392840285687636,0.0010457501561559354,0.7012178749791502
45,2.78,0.8371840173960315,11.707891637220259,23.88692579505301,6.181027453112259,13.674005617468515,10.473860650539095,3.4737700462082084,1.4,46200,2.3,103551,12.245173875674787,2.7146043978329515,1.924655483771282,4.268428117545944,6.192117893598324,Carver County,MN,27019.0,354.33,23.1,13.904053191489366,188.0,86.38297872340425,4.934292872340427,0.0,5.0,69.0,16845000,1477300,0,0,0,0,0,1,8,10,12,15,16,92,42,45,292.244517822369,9.657077189017972e-06,0.00011588492626821566,0.00066633832604224,0.26556962269799556
46,2.42,1.5926554947208398,7.53928193921543,46.22857753655031,7.128350693001107,6.093896602097412,10.564258482879843,3.2874499697146033,3.4,41499,5.6,156277,15.546113631564465,7.492465301995815,6.414251617320526,5.0314505653423085,11.431624615266482,Olmsted County,MN,27109.0,653.35,26.7,134.9501575456053,603.0,80.09950248756219,4.6588020066335,66018.76119402985,2.2039800995024885,146.0,180000,0,0,0,2,5,6,9,16,61,132,213,238,374,52,45,239.19338792377744,5.759004843962963e-05,0.0008446540437812346,0.000934238563576214,1.1486015216570848
47,2.26,2.925564618600648,5.991515350247981,30.543714391113664,11.327212362175677,6.806164692380213,13.083575849489696,5.6369635610935775,7.7,30075,2.6,199754,19.32026392462729,2.590686544449673,1.3321385303923827,1.7721797811307909,1.6855732551037776,St. Louis County,MN,27137.0,6247.4,27.7,94.32513960784316,1275.0,87.50588235294119,3.882073850980392,12334.427450980393,2.955294117647058,106.0,0,0,0,0,4,10,10,12,2,13,37,58,61,96,43,45,31.97394115952236,6.007389088578952e-05,0.00018522783023118436,0.0005306527028244741,1.8127296574786982
48,2.93,1.021324354657688,7.616909839132062,19.94014216236439,5.9633370744481855,17.12682379349046,11.137298915076695,8.724279835390947,4.8,31758,1.8,96036,11.030238660502313,3.9703861052105465,2.7333499937523427,2.678162355783248,3.824607438877088,Sherburne County,MN,27141.0,432.92,29.6,53.59830612244898,294.0,86.19047619047619,4.9617526530612235,14608.897959183674,4.408163265306122,578.0,0,0,0,0,0,0,0,1,1,8,9,15,15,114,36,45,221.83313314238197,1.0412761880961306e-05,9.371485692865175e-05,0.006018576367195635,2.135657461785158
