,household_size,empl_agriculture,empl_professional,empl_social,empl_services,empl_manufacturing,empl_retail,employed,prc_fam_poverty,avg_income,prc_public_transp,population,pop_65_plus,health_ins,county,state,FIPS,area,domestic_passengers,intl_passengers,order started,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,cases_march1,cases_march15,cases_april1,ten plus cases
431,2.56,0.3587378618677131,13.122612777077196,22.62552410782167,10.166212174324748,5.832677013006522,11.48507459289171,219659,4.5,38424.0,0.8,450189,14.183154186352846,94.40235101257471,Virginia Beach city,VA,51810.0,249.02,1841000,0,03/30/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,0,0,88,3/22/20
432,2.4,13.146445040773258,8.389130604694786,21.483469244196648,11.046557069535993,4.6426803532814,10.752155902352602,38383,6.7,31200.0,0.3,77036,18.715925022067605,99.17051768004568,Chelan County,WA,53007.0,2920.53,0,0,03/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,5,5,5,5.0,5,5,0,0,17,3/25/20
433,2.54,1.738887530989211,8.785222947728622,17.446489053388735,12.016830196585074,10.433325185935264,15.168127378749258,57278,7.7,31154.0,0.6,117123,14.993639165663447,99.52101636740862,Berkeley County,WV,54003.0,321.14,0,0,03/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,21,3/29/20
434,2.31,0.9746856295645488,9.115369831420571,23.485805282521554,10.084564274339684,10.090055460985116,17.06935368733183,36422,10.9,26146.0,1.1,84203,20.41494958611926,99.34800422787788,Wood County,WV,54107.0,366.26,0,0,03/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,4/5/20
435,2.62,0.519318653926049,7.725153487513271,21.28167843788949,8.192540276046715,19.181322993121913,12.464801735678346,86652,8.5,32396.0,1.3,169290,13.981333805895211,98.84340480831708,Kenosha County,WI,55059.0,271.99,0,0,03/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,4,3.0,4,5,0,0,54,3/22/20
436,2.38,2.575384831658115,5.818514092921911,26.20791452871301,6.7758487383144725,18.923174246151678,12.363815280804104,71135,3.9,34986.0,0.5,135428,17.551761821779838,99.23649466875388,Marathon County,WI,55073.0,1544.98,0,0,03/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1,1,0,0,5,4/5/20
437,2.4,9.330947602582393,7.278090770607152,24.552070991609646,12.017312667746696,4.274971588848319,10.834925163817491,41357,6.5,36004.0,0.0,79115,15.041395437022054,98.29741515515387,Natrona County,WY,56025.0,5340.35,0,0,03/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,15,3/30/20
438,2.67,0.644916540212443,8.127287333749889,23.333035793983754,12.400696242078016,9.450593591002411,13.911452289565293,44812,11.8,26994.0,0.0,104722,17.942743645079354,99.02503771891293,Houston County,AL,1069.0,579.82,0,0,04/04/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2.0,2,3,0,0,8,4/3/20
439,2.64,1.2456832757770102,9.269856931425752,20.360138135175134,5.074000986679823,20.444005920078933,9.664528860384806,40540,14.8,24988.0,1.0,96109,17.154480849868378,99.08853489267393,Marshall County,AL,1095.0,565.84,580000,0,04/04/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2.0,2,2,0,0,6,4/3/20
440,2.5,0.2947761960518477,13.240278548098846,22.814855898605213,9.551981265791582,12.348760296624965,9.146278835685381,97362,16.3,29809.0,0.4,225763,15.182292935512018,97.7866169390024,Montgomery County,AL,1101.0,784.25,168000,0,04/04/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,4,4,5,5.0,5,5,0,1,35,3/25/20
