,household_size,empl_agriculture,empl_professional,empl_social,empl_services,empl_manufacturing,empl_retail,prc_fam_poverty,avg_income,prc_public_transp,population,pop_65_plus,health_ins,county,state,area,domestic_passengers,intl_passengers,deaths,cases_march1,cases_march15,cases_april1,ten_plus,order,density,death_prc
16,2.71,0.27238207356624305,8.634280899784171,27.29591542305784,9.728425839363826,11.637408676984869,11.916715718523136,15.2,22087.0,1.5,201554,13.965488157019957,95.02912370878276,Richmond County,GA,324.33,298000,0,8,0,0,41,26,18,621.4472913390682,3.969159629677407e-05
17,2.7,0.19003931847968544,8.72870249017038,16.65792922673657,8.597640891218871,26.69724770642202,12.198558322411532,21.8,24448.0,0.0,70034,14.371590941542678,98.15518176885513,Troup County,GA,413.99,0,0,4,0,0,19,21,18,169.1683373994541,5.711511551532113e-05
18,2.52,0.5414382992858329,6.351104467696396,20.817140009965122,10.486630127885734,15.243315063942866,10.519847201461552,8.9,22794.0,0.0,69410,18.863276184987754,97.8043509580752,Walker County,GA,446.38,503000,0,0,0,0,2,2,18,155.4953178905865,0.0
19,2.43,2.274470470234232,3.9087851790666117,25.24042716384448,9.496135465219188,14.118827069443624,13.546521918697266,6.6,31239.0,0.8,65691,20.241737833188715,98.16565435143323,Adams County,IL,855.2,0,0,0,0,0,2,6,31,76.81361085126287,0.0
20,2.56,1.8388511415181343,9.171670023150329,31.10425175509589,8.343528260337656,11.620334644557786,11.193088780561254,7.4,30486.0,1.8,104143,12.775702639639725,99.34129034116552,DeKalb County,IL,631.31,0,0,1,0,0,14,15,31,164.9633302181179,9.60218161566308e-06
21,2.46,0.5826865867350702,12.454413584546922,23.76066414797453,9.697511084157645,8.138762999811508,12.463428426254492,9.9,30824.0,2.0,261059,15.687258435832513,97.83803661241328,St. Clair County,IL,657.76,7603000,136100,14,0,2,53,20,31,396.89096326927756,5.3627724001087875e-05
22,2.34,1.6156686890002638,5.513057240833554,28.603930361382226,11.207465048799786,8.480611975731996,12.968214191506199,9.2,25624.0,0.9,67056,18.733595800524935,97.07110474827007,Williamson County,IL,420.15,0,0,0,0,0,1,6,31,159.60014280614067,0.0
23,2.37,1.4456942651668818,6.647612022865572,29.273464871842155,11.842153789415452,13.828139406232712,12.684860778167069,14.3,23387.0,1.9,114772,17.365733802669638,98.70700170773355,Delaware County,IN,392.12,0,0,5,0,0,22,18,28,292.69611343466283,4.3564632488760325e-05
24,2.73,0.4588696138780078,9.008393956351426,23.719082260772254,6.782316731952993,13.473978735310578,11.898153329602685,4.7,36003.0,0.0,167009,13.722014981228554,98.75036674670228,Hendricks County,IN,406.91,4567000,0,15,0,2,91,23,28,410.43228232287237,8.981551892412984e-05
25,2.37,1.7481929736090098,8.091696083375357,19.54320053790553,13.130358043368636,20.486636409480585,10.846360732896283,12.2,26844.0,1.6,110007,17.886134518712446,93.12861908787625,LaPorte County,IN,598.3,360000,0,5,0,1,11,15,28,183.8659535350159,4.54516530766224e-05
26,2.45,1.0920138888888888,9.190972222222225,24.98611111111111,6.2204861111111125,15.050347222222221,11.536458333333336,14.0,24585.0,0.4,129641,18.233429239206732,96.35069152505768,Madison County,IN,451.92,0,0,24,0,0,46,19,28,286.8671446273677,0.0001851266188937142
27,2.41,1.579245359323816,6.211833218748738,24.62490395114652,8.43410037610709,16.049257896226795,13.928094795163181,6.7,30732.0,0.5,96854,18.007516468085985,98.74450203398928,Dubuque County,IA,608.31,0,0,1,0,0,22,19,0,159.21816179250712,1.032481879943007e-05
28,2.49,2.385101285123066,5.859289915051187,24.826835112176,9.18971901546504,10.917011544325852,13.164887824003484,9.5,28623.0,0.3,93533,17.580960730437383,98.98859226155474,Pottawattamie County,IA,950.28,2441000,0,1,0,1,5,8,0,98.426779475523,1.069141372563694e-05
29,2.56,0.5141993661980448,16.773727807754902,22.42533250131532,7.318699604791446,7.1064126564622105,10.403895801979713,3.7,46475.0,0.4,597555,14.479671327325521,99.31838910225835,Johnson County,KS,473.38,5738000,0,22,0,5,143,30,22,1262.3156871857705,3.681669469755922e-05
30,2.53,0.9328226697055853,11.438238680420122,22.08581028689584,8.517587349326817,10.675767757701074,12.392208463544724,6.1,33443.0,2.5,166051,14.470253115006836,99.17736117217,Kenton County,KY,160.25,4102999,136900,10,0,0,20,19,26,1036.1996879875196,6.022246177379239e-05
31,2.54,1.2627860769740231,7.6238133784678785,24.534550003679445,10.016925454411655,14.215909927146955,14.575023916402971,13.6,27392.0,0.0,131264,13.226779619697707,98.97534739151634,Warren County,KY,541.6,0,0,0,0,0,13,17,26,242.36336779911372,0.0
32,2.53,6.901028408512372,10.708346061161457,24.31269728133591,14.300987679462375,5.3643552930794565,11.463530529817062,10.7,29811.0,0.4,242782,13.124531472679193,99.16880164097832,Lafayette Parish,LA,268.72,222000,0,16,0,0,159,23,29,903.4757368264363,6.590274402550437e-05
33,2.8,0.17047646304891556,15.382700994238643,20.258078966688647,6.097333349924718,2.4725308910817168,10.076776626059255,5.3,38848.0,5.1,161503,12.332278657362401,97.56227438499592,Charles County,MD,457.75,11164000,182400,13,0,1,56,21,22,352.8192244675041,8.049386079515551e-05
34,2.62,0.6851612999425926,18.559744723363327,21.1870661825556,8.133960590178111,5.735523264916612,10.159622453011655,4.4,43762.0,1.7,255648,14.402616097133558,99.03617474026787,Frederick County,MD,660.22,0,0,22,0,0,35,21,22,387.2163824179819,8.605582676179747e-05
35,2.82,0.14132027016138196,15.292134204670589,23.028179344513607,9.341393822816613,1.635513535961257,8.413927897737016,5.5,37093.0,14.6,909308,13.265582178975661,99.28363106890076,Prince George's County,MD,482.69,23859000,786700,72,0,7,403,31,22,1883.834345024757,7.918109155533658e-05
36,2.54,0.27527208165696104,19.075269394983533,28.57109273725005,7.620973068337777,9.646948722598733,8.345927115027683,4.4,52157.0,12.5,1614714,15.23861191517507,99.10560012485183,Middlesex County,MA,817.82,17316000,3572800,221,0,65,1582,37,28,1974.412462400039,0.00013686634289415957
37,2.41,0.08098097511019277,16.764415290290856,30.561633514845013,10.279395642817505,4.869686046459169,8.714364987345313,11.8,41657.0,31.4,807252,12.010128187975994,99.2687537472809,Suffolk County,MA,58.15,16407000,3572800,145,1,27,1624,37,28,13882.235597592433,0.0001796217290263759
38,2.41,0.8341039044366024,7.859825253344908,24.43245079353097,7.8786963824045575,17.180275895906853,8.961899190428563,6.5,34545.0,0.2,109826,18.465572815180376,99.1686850108353,Eaton County,MI,575.18,166000,0,5,0,0,27,17,28,190.9419659932543,4.552656019521789e-05
39,2.47,1.4353352670192798,8.701586759938577,21.039498379116193,12.052124210885514,13.609025763521586,13.38082238525849,7.3,34465.0,1.0,92573,19.8524407764683,98.82255085176024,Grand Traverse County,MI,464.33,246000,0,3,0,0,8,13,28,199.36898326621153,3.2406857291002776e-05
40,2.39,0.7216678545972915,7.766096459966739,25.3875623663578,8.245723449750535,19.354359705393204,10.761166547873604,9.6,26940.0,0.2,158823,17.97409695069354,95.15813200858818,Jackson County,MI,701.67,0,0,8,0,0,56,22,28,226.34999358672883,5.0370538272164614e-05
41,2.46,0.6652000838047349,8.260752446798957,26.715752297147645,11.745383257011163,16.728023704767892,10.515997725300052,7.5,30504.0,2.0,264870,15.036810510816627,99.17393438290482,Kalamazoo County,MI,561.66,151000,0,8,0,0,30,21,28,471.5842324537977,3.020349605466833e-05
42,2.48,0.9494422027059102,7.131365878102171,23.592320067515892,8.5106944114777,23.463090434369807,10.490017670174328,10.6,25432.0,0.4,173588,16.960273751641818,97.01765098969976,Muskegon County,MI,499.25,0,0,5,0,0,18,18,28,347.6975463194792,2.880383436643086e-05
43,2.72,1.5590894917368257,8.463533891951784,21.92411546550432,8.605510552050369,23.68621831233539,9.964240458040589,3.0,31407.0,1.1,290494,14.945575467995898,99.5597155190813,Ottawa County,MI,563.47,1629000,0,2,0,0,31,24,28,515.5447494986423,6.884823782935276e-06
44,2.74,0.6696555246580784,9.443793820389928,22.35813672735528,7.620040138058412,16.544825131170967,11.843306798190177,3.6,36536.0,2.6,353813,14.082580346115039,99.29878212502085,Anoka County,MN,423.01,16845000,1477300,0,0,1,26,20,25,836.4175787806435,0.0
45,2.78,0.8371840173960315,11.707891637220259,23.88692579505301,6.181027453112259,13.674005617468515,10.473860650539095,1.4,46200.0,2.3,103551,12.245173875674787,99.734430377302,Carver County,MN,354.33,16845000,1477300,0,0,1,10,17,25,292.244517822369,0.0
46,2.42,1.5926554947208398,7.53928193921543,46.22857753655031,7.128350693001107,6.093896602097412,10.564258482879843,3.4,41499.0,5.6,156277,15.546113631564465,98.85139847834292,Olmsted County,MN,653.35,180000,0,2,0,1,61,27,25,239.19338792377744,1.2797788542139918e-05
47,2.26,2.925564618600648,5.991515350247981,30.543714391113664,11.327212362175677,6.806164692380213,13.083575849489696,7.7,30075.0,2.6,199754,19.32026392462729,98.1872703425213,St. Louis County,MN,6247.4,0,0,6,0,0,13,18,25,31.97394115952236,3.003694544289476e-05
48,2.93,1.021324354657688,7.616909839132062,19.94014216236439,5.9633370744481855,17.12682379349046,11.137298915076695,4.8,31758.0,1.8,96036,11.030238660502313,97.86434253821484,Sherburne County,MN,432.92,0,0,0,0,0,8,11,25,221.83313314238197,0.0
49,2.4,1.705237515225335,5.515921350269705,29.288324343135546,10.081781799199582,8.411345049591091,13.854184792065425,19.5,22702.0,0.0,75317,17.17806072998128,95.72075361472177,Lauderdale County,MS,703.63,0,0,12,0,0,39,20,25,107.04063215041997,0.0001593265796566512
50,2.59,0.9855712370890168,5.571762727009908,23.07287970774528,9.876737890614734,24.47107676942889,11.169807353675523,7.3,27637.0,0.0,85202,14.198023520574631,98.78993450857962,Lee County,MS,449.95,0,0,4,0,0,25,23,25,189.35881764640516,4.694725475927795e-05
51,2.66,1.3283580128499914,8.221103943029076,25.710494159692026,7.126621030364348,7.074064828075522,13.407087203878648,6.2,30605.0,0.0,153902,15.243466621616351,96.02799183896244,Rankin County,MS,775.49,486000,0,2,0,0,48,23,25,198.45774929399477,1.2995282712375408e-05
52,2.51,0.5947882648241613,12.00136298615422,25.19398936600901,8.475817116946912,7.445143181020756,11.42951607244069,7.0,35490.0,0.9,566880,13.029388935930006,98.73165396556593,Douglas County,NE,328.46,2441000,0,5,0,15,101,34,0,1725.8722523290508,8.820208862545865e-06
53,2.42,1.4075379455403332,10.306975157751122,27.155932010687284,8.423057245182196,8.363367631175032,10.183048149621968,6.8,30590.0,1.1,317272,13.814644847323432,98.72191684107011,Lancaster County,NE,837.55,146000,0,1,0,0,9,14,0,378.8096233060713,3.1518696890995737e-06
54,2.77,0.5944468666588684,12.520603592203072,23.820411114773968,8.721035337154524,5.779639928964131,11.394451120303712,3.5,35628.0,0.3,184459,12.018388910272744,97.55067521779907,Sarpy County,NE,238.99,2441000,0,0,0,0,17,20,0,771.8272731076614,0.0
55,2.38,0.6921630094043887,8.34858934169279,27.17492163009405,9.594984326018807,13.070846394984324,11.947335423197492,6.8,34460.0,0.4,76493,19.73383185389513,98.97506961421308,Cheshire County,NH,706.66,0,0,0,0,0,4,11,25,108.24583250785385,0.0
56,2.52,0.5232006229412101,13.826320141036687,22.037420218466877,8.02124299519233,15.234062285371818,12.810103546477801,5.1,41289.0,1.4,415247,15.617210961186956,98.99890908302773,Hillsborough County,NH,876.14,909000,0,2,0,0,109,27,25,473.950510192435,4.816410473766216e-06
57,2.3,0.19249049429657794,7.072243346007607,28.719106463878326,16.41397338403041,3.4386882129277567,9.843155893536123,7.1,42585.0,1.5,92560,26.002592912705275,97.44598098530682,Cape May County,NJ,251.43,534000,0,10,0,0,22,16,31,368.13427196436385,0.000108038029386344
58,2.76,3.3754572663784503,8.069504489524443,24.1602926504822,7.198204190222813,10.844695710009976,13.245759893581646,10.3,25040.0,2.6,150972,15.381660175396767,92.51384362663276,Cumberland County,NJ,483.7,0,0,3,0,0,27,19,31,312.11908207566677,1.9871234401080993e-05
59,2.53,0.10902352256895127,16.808018504240557,18.245343505255047,9.46340407688458,6.285219602591676,10.434335646363404,11.6,42150.0,43.9,676061,11.821122650175061,99.22935948087523,Hudson County,NJ,46.19,43872000,24424000,365,0,5,1910,31,31,14636.523056938731,0.0005398921103273225
60,2.82,11.106151426263656,4.4615907834885,26.408196233473625,10.102878034264338,3.8472983888109513,14.456064277515626,19.7,22067.0,0.1,125043,15.275545212446918,98.92437001671424,San Juan County,NM,5513.07,188999,0,10,0,0,47,20,28,22.68119214883903,7.997248946362451e-05
61,2.35,1.198084209021374,15.821002216026876,19.774108227893343,15.201944384873828,2.263206805347058,13.041675602258918,7.4,37821.0,0.7,150056,24.36956869435411,99.22295676280856,Santa Fe County,NM,1909.41,0,0,0,0,3,42,24,28,78.5876265443252,0.0
62,2.31,2.974933031339156,5.165842716205328,34.987041836356894,7.138968138162338,6.923361717882266,13.602805061306267,10.2,25682.0,0.5,108047,17.092561570427684,96.61443631012428,St. Lawrence County,NY,2680.38,0,0,0,0,0,34,18,30,40.31032913243644,0.0
63,2.41,0.9964869612214564,9.309552763140116,26.56735576273477,10.017790388686212,6.446200963833716,14.099446020808001,7.4,35400.0,3.9,178599,19.66696342084782,97.56549588743498,Ulster County,NY,1124.24,184000,168800,15,0,5,222,26,30,158.86198676439196,8.39870324021971e-05
64,2.84,0.7860537614871907,11.539307469423274,23.825461639237666,11.083166783012825,7.9360829277155664,10.130722079313015,7.7,32544.0,0.9,211342,13.347086712532294,99.33851293164629,Cabarrus County,NC,361.75,20860000,1549800,3,0,1,47,23,22,584.2211472011057,1.4195001466816818e-05
65,2.48,0.7249875343300594,8.394342564524681,25.790086032909368,9.929796512778301,8.544722074920655,15.018164261913615,14.1,24969.0,0.5,332330,12.083772154184096,90.86961754882195,Cumberland County,NC,652.32,234000,0,3,0,0,24,18,22,509.45854795192537,9.027171787079108e-06
66,2.45,0.9776822276822276,10.40918540918541,24.08689283689284,8.908996408996408,13.235525735525734,11.193142443142444,11.9,30877.0,0.5,533670,15.079356156426256,99.23079805872543,Guilford County,NC,645.7,932999,0,11,0,0,55,25,22,826.4983738578287,2.0611988682144397e-05
67,2.62,0.3608170110648277,20.237283629099885,20.74195021850137,9.029117608960943,8.383839761114254,9.815177153141851,5.0,41022.0,1.1,1092305,11.612141297531366,99.35567446821173,Wake County,NC,835.22,6066000,178000,3,0,14,213,33,22,1307.8051291875195,2.7464856427463026e-06
68,2.26,3.209437070418268,6.629049665801983,24.11148770189158,10.291026830515213,5.441841970726904,12.292428000681653,2.3,37979.0,0.4,95273,15.909019344410277,98.12118858438382,Burleigh County,ND,1632.65,282000,0,0,0,0,32,28,0,58.35482191529109,0.0
69,2.36,0.6589014407197746,9.298203072086158,23.75640714757553,8.932797070062627,20.638331674930807,10.186214912244028,4.3,35356.0,0.7,230514,20.105937166506155,99.14538813260799,Lake County,OH,227.49,0,0,6,0,0,48,23,29,1013.2928919952525,2.6028787839350323e-05
70,2.48,0.6895662384025953,9.392625170525116,24.57869267471613,9.468640346412016,16.114538581095296,12.897467744453268,11.6,31466.0,0.5,309461,18.38842374321805,98.101214692643,Lorain County,OH,491.1,4576000,101900,9,0,1,85,27,29,630.1384646711464,2.9082824653187317e-05
71,2.36,0.4974569352393219,9.326937216979458,25.260264803273788,11.140804145981553,15.891238977094668,10.585031667875237,12.9,28276.0,1.9,429899,16.33151042454158,98.93347041979628,Lucas County,OH,340.86,0,0,28,0,1,171,24,29,1261.218682156897,6.51315774170212e-05
72,2.35,0.19180876776725725,10.92755615672883,23.59876118884479,9.229734424314994,15.468508622155206,11.66929064017562,7.7,33736.0,2.0,541918,17.9855623913581,98.91053628039668,Summit County,OH,412.75,5022000,101900,16,0,2,144,27,29,1312.9448818897638,2.9524762048870862e-05
73,2.62,3.538599987144051,6.135501703413254,23.243555955518406,7.318249019733883,15.1732339139937,13.042360352253006,9.7,27533.0,0.2,71604,17.35098597843696,98.86039886039886,Creek County,OK,950.14,1479000,0,3,0,0,27,21,0,75.36152566990128,4.1897100720630135e-05
74,2.4,4.22145908367535,7.398721277605606,32.45386269090097,11.50291760895664,7.144651980902923,13.150180082083926,11.7,25941.0,0.4,82040,13.383715260848367,97.83276450511946,Payne County,OK,684.7,0,0,0,0,0,16,19,0,119.81889878779026,0.0
75,2.57,3.015180353744023,9.18248920662922,21.563530012534237,7.578571096977855,14.662736177521934,8.732185135323336,7.9,31955.0,0.0,91984,16.293050965385284,98.78130979300751,Rogers County,OK,675.63,1479000,0,2,0,0,4,13,0,136.14552343738436,2.1742911810749696e-05
76,2.56,2.2388581600864645,10.699027274461187,21.288384512683574,10.543264034585796,12.038591137389536,10.490813147688982,10.6,31607.0,0.7,648360,14.393084089086313,99.23776914060088,Tulsa County,OK,570.25,1479000,0,21,0,2,115,24,0,1136.9750109601052,3.238941328891357e-05
77,2.38,2.5988018547559144,10.678948971648408,26.512066067217976,9.782032334126832,10.068030280808241,12.433295350700044,10.8,29762.0,2.9,379611,19.414611273119053,99.49079452386783,Lane County,OR,4553.12,561000,0,1,0,0,18,20,29,83.37381839266261,2.634275613720361e-06
78,2.49,2.734641467035833,8.906143413185667,23.38188676216845,7.3753059668552625,18.3359415753782,11.167288632077362,4.7,30366.0,0.4,102811,20.069836885158203,98.74527044771472,Adams County,PA,518.67,623000,0,1,0,0,12,15,20,198.22044845470145,9.726585676629932e-06
79,2.33,0.9770835095056156,14.477902230148905,23.370054043249976,6.256870719013537,6.153089229018844,14.768490402134054,3.3,39045.0,0.5,251423,18.601321279278352,96.9664668705727,Cumberland County,PA,545.46,623000,0,4,0,3,38,30,20,460.9375572910937,1.5909443447894585e-05
80,2.53,1.2858302362339271,9.191621456135104,22.475685989719054,10.393438421120084,15.605109146054936,13.43357967733208,7.9,28814.0,0.8,141314,19.60810676932222,98.83238744922654,Lebanon County,PA,361.83,623000,0,2,0,0,36,20,20,390.5535748832325,1.4152879403314605e-05
81,2.4,2.7345108800680245,6.786998028833146,26.875507285587286,7.691415761604763,13.351756657519426,11.950682178332624,8.9,27306.0,0.4,113664,19.268193975225227,97.19788147522522,Lycoming County,PA,1228.59,0,0,0,0,0,7,12,20,92.51581080751106,0.0
82,2.35,0.0610400281723207,11.058809719450641,28.432914661345226,9.835661462612984,9.408381265406737,10.109167742692804,3.6,37841.0,1.2,163861,18.869041443662613,99.25546652345587,Kent County,RI,168.53,2014000,0,0,0,0,39,18,24,972.2957336972646,0.0
83,2.78,0.31197433791026097,13.071626960841842,19.04217032429684,10.071196651410242,12.99338888236905,10.313734694675896,9.2,29727.0,0.7,221091,13.934986046469552,97.23869356961613,Berkeley County,SC,1098.86,2189000,0,3,0,0,18,20,14,201.200334892525,1.3569073367979701e-05
84,2.56,2.8769324792322144,8.146404400280678,24.767423436474342,6.509880259851968,20.134000316892642,9.275900314629123,14.4,22602.0,0.1,106512,16.493916178458765,95.81643382905213,Sumter County,SC,665.07,0,0,5,0,0,48,22,14,160.1515629933691,4.6943067447799307e-05
85,2.37,0.1721850565952522,13.722969383905964,23.553427406420887,12.484571346456347,7.767316658840072,10.891538810922327,12.8,36891.0,1.6,692587,12.193413968209047,99.10119595083358,Davidson County,TN,504.03,7667000,121900,19,0,14,673,34,21,1374.0987639624627,2.7433376601062394e-05
86,2.41,0.20818914828131416,10.63452676355902,23.65703932524209,9.102367166883298,12.38331560912206,10.637902803801422,8.4,32580.0,1.0,364286,17.45798630746172,98.93051064273676,Hamilton County,TN,542.43,503000,0,11,0,1,50,24,21,671.581586564165,3.0196054748192355e-05
87,2.66,1.0440835266821344,10.126761360421026,21.40512704430989,5.149680267104295,13.270329919076454,8.904419670646822,8.6,30827.0,0.2,71012,14.26519461499465,98.65515687489435,Robertson County,TN,476.29,0,0,0,0,0,35,23,21,149.09403934577674,0.0
88,2.27,1.0145611433194015,9.424295537279225,27.804368342995826,9.901240393690172,10.698395577726844,15.196508022111368,9.1,29356.0,0.3,128607,18.27661013786186,98.56772959481206,Washington County,TN,326.47,198999,0,0,0,0,21,20,21,393.9320611388489,0.0
89,2.96,2.0869596001911717,11.018344239177251,23.28933626778223,7.395519261746155,12.732400682082355,9.151468306181815,7.1,31712.0,0.1,370200,11.792544570502427,96.66396542409508,Brazoria County,TX,1357.7,6518000,523000,3,0,2,95,27,19,272.6670103852103,8.103727714748785e-06
90,2.9,0.7583922160915004,17.284208289376814,20.660637982984085,8.040816946090969,8.208547423705403,11.062052687102973,4.5,43910.0,1.1,1005146,10.987955978534462,99.73217821092658,Collin County,TX,841.23,36450000,4138700,11,0,7,184,29,19,1194.852775103123,1.0943683803148995e-05
91,2.78,0.7171036302105869,14.526991306721337,17.208162518493744,9.403333485807527,8.371658096867106,10.623227018827064,10.8,32467.0,2.5,2637772,10.735651148014307,99.32029758447659,Dallas County,TX,871.28,36450000,4138700,50,0,11,731,32,19,3027.467633826095,1.895539114070511e-05
92,2.71,2.450146709776291,9.837342154609054,25.77731262576236,9.038069785261742,9.907737928370745,10.091514505890196,9.3,36458.0,0.9,337890,14.42333303737903,98.26452395750096,Galveston County,TX,378.36,6518000,523000,13,0,1,106,25,19,893.0383761496987,3.8474059605196956e-05
93,3.04,0.5916338463139997,16.562277703558486,21.904332286552037,8.449433523604629,9.550809375921716,10.091781321026424,4.2,36274.0,0.7,566719,12.11517524558026,99.5348664858598,Williamson County,TX,1118.3,7499000,205100,4,0,0,50,24,19,506.7683090405079,7.0581716864971885e-06
94,3.16,1.6930932545014783,13.018322082931533,27.574813854593174,8.070253094519183,17.515848048437327,8.579287667767996,11.4,22582.0,1.7,127068,9.074668681335977,99.35231529574716,Cache County,UT,1164.81,0,0,0,0,0,7,13,0,109.08903598011693,0.0
95,3.41,2.4932675723925084,15.543586795364456,13.667584495748734,6.559956428333686,8.399649006021361,17.286453447910677,4.6,24915.0,2.4,69907,9.09637089275752,99.48503011143377,Tooele County,UT,6941.35,0,0,0,0,0,12,16,0,10.071095680235112,0.0
96,3.23,0.17397670439589366,18.75452421689918,18.506926164780204,8.57010068439063,2.7235785733087656,11.497680310608056,4.6,40575.0,4.1,468011,9.938655288016736,98.31286016781658,Prince William County,VA,336.4,18891000,4032700,1,0,2,106,28,22,1391.2336504161713,2.1367019151259264e-06
97,2.65,0.2204629722417076,15.632828940775628,22.86134215185223,12.362628185856964,12.86702074356148,7.68614089588135,4.3,36976.0,0.0,67846,17.003213159213512,94.7307136750877,York County,VA,104.78,2036000,0,1,0,0,16,17,22,647.5090666157664,1.4739262447307136e-05
98,2.67,0.329318661249889,11.424271504001286,22.493859623164763,8.05287699377296,11.158364651721207,11.935370684297967,5.4,35691.0,2.6,481857,15.454377543545075,99.4751554921896,Clark County,WA,629.0,9361000,436300,15,0,3,130,25,29,766.0683624801272,3.112956748578935e-05
99,2.49,3.358138559899382,3.94507913216644,18.02746043391678,10.83743842364532,18.73178912063725,14.524682947280159,8.5,31054.0,0.0,108987,19.13622725646178,99.0760365915201,Cowlitz County,WA,1140.13,0,0,0,0,0,14,19,29,95.59173076754405,0.0
100,2.58,4.110190763052207,6.428840361445782,27.397088353413658,10.375878514056225,9.26832329317269,10.21586345381526,7.7,28346.0,0.8,79604,20.828099090497965,98.87694085724337,Lewis County,WA,2402.8,0,0,2,0,0,10,17,29,33.12968203762277,2.5124365609768353e-05
